kind,crew,condition,rule,variant,metric,n_replicates,mean,sd,minimum,maximum,replicate_values
outcome,3,lone_liar,mean,catch_outside,no_ejection_rate,10,0.4892,0.025546471815540837,0.446,0.536,"[0.536,0.506,0.472,0.494,0.446,0.484,0.492,0.496,0.506,0.46]"
outcome,3,lone_liar,sharp_credibility,alibi_off,coalition_favorable_rate,10,0.9743999999999999,0.003864367132317187,0.968,0.982,"[0.982,0.976,0.974,0.97,0.974,0.968,0.976,0.972,0.976,0.976]"
outcome,3,lone_liar,sharp_credibility,alibi_off,creator_ejection_rate,10,0.0256,0.0038643671323171837,0.018,0.032,"[0.018,0.024,0.026,0.03,0.026,0.032,0.024,0.028,0.024,0.024]"
outcome,3,lone_liar,sharp_credibility,alibi_off,creator_survival,10,0.9743999999999999,0.003864367132317187,0.968,0.982,"[0.982,0.976,0.974,0.97,0.974,0.968,0.976,0.972,0.976,0.976]"
outcome,3,lone_liar,sharp_credibility,alibi_off,false_ejection_rate,10,0.21880000000000002,0.027748073006166673,0.17,0.26,"[0.228,0.26,0.232,0.17,0.238,0.208,0.182,0.202,0.236,0.232]"
outcome,3,lone_liar,sharp_credibility,alibi_off,incident_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,lone_liar,sharp_credibility,alibi_off,no_ejection_rate,10,0.7556,0.026226365021142815,0.716,0.8,"[0.754,0.716,0.742,0.8,0.736,0.76,0.794,0.77,0.74,0.744]"
outcome,3,lone_liar,sharp_credibility,baseline,coalition_favorable_rate,10,0.8308,0.015526321736543587,0.806,0.85,"[0.85,0.842,0.832,0.824,0.806,0.806,0.836,0.832,0.85,0.83]"
outcome,3,lone_liar,sharp_credibility,baseline,creator_ejection_rate,10,0.1482,0.014710540438746632,0.128,0.172,"[0.128,0.148,0.142,0.156,0.172,0.17,0.148,0.14,0.13,0.148]"
outcome,3,lone_liar,sharp_credibility,baseline,creator_survival,10,0.8518000000000001,0.014710540438746646,0.828,0.872,"[0.872,0.852,0.858,0.844,0.828,0.83,0.852,0.86,0.87,0.852]"
outcome,3,lone_liar,sharp_credibility,baseline,false_ejection_rate,10,0.20099999999999998,0.0229830855679176,0.164,0.238,"[0.208,0.238,0.218,0.164,0.208,0.192,0.182,0.172,0.216,0.212]"
outcome,3,lone_liar,sharp_credibility,baseline,incident_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,lone_liar,sharp_credibility,baseline,no_ejection_rate,10,0.6298,0.02331332475454996,0.598,0.66,"[0.642,0.604,0.614,0.66,0.598,0.614,0.654,0.66,0.634,0.618]"
outcome,3,lone_liar,sharp_credibility,catch_outside,coalition_favorable_rate,10,0.8176,0.017251086922278225,0.79,0.844,"[0.844,0.824,0.826,0.804,0.79,0.794,0.828,0.822,0.832,0.812]"
outcome,3,lone_liar,sharp_credibility,catch_outside,creator_ejection_rate,10,0.175,0.016659998666133068,0.148,0.2,"[0.148,0.174,0.17,0.186,0.2,0.198,0.166,0.168,0.158,0.182]"
outcome,3,lone_liar,sharp_credibility,catch_outside,creator_survival,10,0.825,0.016659998666133047,0.8,0.852,"[0.852,0.826,0.83,0.814,0.8,0.802,0.834,0.832,0.842,0.818]"
outcome,3,lone_liar,sharp_credibility,catch_outside,false_ejection_rate,10,0.32299999999999995,0.017518244457961216,0.3,0.348,"[0.306,0.314,0.344,0.304,0.34,0.3,0.334,0.318,0.322,0.348]"
outcome,3,lone_liar,sharp_credibility,catch_outside,incident_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
