crew,condition,rule,metric,contrast,n_replicates,mean,sd,minimum,maximum,replicate_values,variant
3,framer,,coalition_favorable_rate,sharp_credibility minus mean,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",alibi_off
3,framer,sharp_credibility,creator_ejection_rate,alibi_off minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,framer,,creator_ejection_rate,sharp_credibility minus mean,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",alibi_off
3,framer,sharp_credibility,creator_survival,alibi_off minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,framer,,creator_survival,sharp_credibility minus mean,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",alibi_off
3,framer,sharp_credibility,false_ejection_rate,alibi_off minus baseline,10,0.004800000000000004,0.0019321835661585934,0.0020000000000000018,0.008000000000000007,"[0.008000000000000007,0.006000000000000005,0.006000000000000005,0.006000000000000005,0.0020000000000000018,0.0020000000000000018,0.0040000000000000036,0.0040000000000000036,0.006000000000000005,0.0040000000000000036]",
3,framer,,false_ejection_rate,sharp_credibility minus mean,10,-0.019800000000000005,0.004565571644870396,-0.028000000000000025,-0.014000000000000012,"[-0.028000000000000025,-0.016000000000000014,-0.020000000000000018,-0.016000000000000014,-0.026000000000000023,-0.02200000000000002,-0.015999999999999903,-0.020000000000000018,-0.014000000000000012,-0.020000000000000018]",alibi_off
3,framer,sharp_credibility,incident_rate,alibi_off minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,framer,,incident_rate,sharp_credibility minus mean,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",alibi_off
3,framer,sharp_credibility,no_ejection_rate,alibi_off minus baseline,10,-0.004799999999999999,0.0019321835661585834,-0.007999999999999952,-0.0020000000000000018,"[-0.007999999999999952,-0.006000000000000005,-0.006000000000000005,-0.006000000000000005,-0.0020000000000000018,-0.0020000000000000018,-0.0040000000000000036,-0.0040000000000000036,-0.006000000000000005,-0.0040000000000000036]",
3,framer,,no_ejection_rate,sharp_credibility minus mean,10,0.019799999999999995,0.004565571644870395,0.014000000000000012,0.028000000000000025,"[0.028000000000000025,0.01599999999999996,0.020000000000000018,0.01599999999999996,0.026000000000000023,0.02200000000000002,0.016000000000000014,0.019999999999999962,0.014000000000000012,0.019999999999999962]",alibi_off
3,framer,,coalition_favorable_rate,sharp_credibility minus mean,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",baseline
